dav,swa
Machi ghaoma,Maji yamekauka
Kusesighe mnyango ghuari,Usiwache mlango wazi
Chia ra matano,Njia panda
Mighondi yeko milazi,Milima ni Mingi
Dasea Vololonyi,Tumeshuka mabondeni
Malemba ghose gheoma,Majani yote yamekauka
Aha choka rakayagha,Hapa huwa kuna nyoka
Mbanga reko aha,Pango ziko hapa
Diende diwa,Twende kuwinda
Nadungwa ni mwinjwa,Nimedungwa na mwiba
Mziri ghwadumbuka,Kamba imekatika
Wwacha ighuwa,Chambua miwa!
Choki reka mwadunyi,Nyuki wako Mzingani
Choki radaboisa wuki,Nyuki hutengeneza Asali
Nyonyi reko pacha,Ndege ni wengi
Kilole chabarika,Kioo kimepasuka
Kwaichi kudunga nguwo?,Wajua kushona nguo?
Nguwo rose rerashuka,Nguo zote zimeraruka
Nawelawia Magome ghapo,Nadai pesa zangu
Wandu washanwa,Watu wamelipwa
Ngera kwaichi iyo chia?,Labda wajua hiyo njia?
Niwawasire mzawo,Nielekeze kwao
Ughu ni mtandara ughu mbaha,Hii ni barabara kuu
Vuo vake verashuka,Vitabu vyake vimeraruka
Saru ndeiwekata mbuwenyi,Mbolea haitoshi shambani
Siwonee mundu ungi mzima,Sijaona mtu mwingine
Matuku malazi ghaida,Siku nyingi zimepita
Diwonanagha ituku izima,Tutaonana siku nyingine
Dikwane kinyangenyi,Tukutane sokoni
Naenda rura vuwwa,Naenda kutafuta uyoga
Niki chashekeria kuoma kwa ndoe,Nini kimesabanisha ukame
Naenda Bunga modenyi,Naenda kuogelea mtoni
Ndiwa reko na machi,Vidimbwi vina Maji
Lukuwa lwakaba,Radi imepiga
Sidimagha kudeda,Siwezi kuongea
Mzenyu ni hao?,Kwenu ni wapi?
Kwaki kusemzeragha uche,Mbona usimwambie aje
Sirwae vadu,Sijavaa viatu
Malagho ghaghalukie,Mambo yamebadilika
Lawuke ni ituku jha njumwa,Kesho kutwa ni Jumapili
Kiramko nikuseliagha,Jumatatu ntakutembelea
Warwa kofe,Amevaa Kofia
Warushwa kirumbu,Amevikwa Taji
Wawuduka msangaghenyi,Alianguka kwa mchanga
Madu nigho ghawemja,Maskio yanamuuma
Kufunguo koshi,Fungua mbwa
Kuenje koshi ghadi,Peleka mmbwa shambani
Mbewa ranona nguwo,Panya wameharibu nguo
Ikwau sipatire dilo,Jana sikupata usingizi
Mtandara ghwawelimwa,Barabara inalimwa
Righa mbenge kose,Weka Ua kote
Kwaki kuseshanue iridia?,Mbona hujachana nywele
Nawelunwa ni kifu,Naumwa na tumbo
Daenda diwa na ndana,Naenda kuwinda na uta
Siwadie mawanu,Sina mishale
Enda kudumbuo mbogha,Enda ukate mboga
Nawekota manga,Nachimba mhogo
Kwajagha mwachaka?,Unakula pilipili?
Naweboisa kitangara cha kwaru,Najenga banda la sungura
Saru ya mburi yapoie,Samadi ya mbuzi ni nzuri
Temerea mbande,Chanja kuni
Nazoe kukora maka,Nilianza kuchoma mkaa
Kwaki kughoragha tee?,Kwanini unasema uongo?
Isanga jedu ndedine wuda,Nchi yetu hatuna vita
Sere eko,Amani iko
Oka na boi wa chokwa,Ako na paka mweupe
Boi wa chilu wadabolwa,Paka mweusi anaogopewa
Warwa ishati jha makumbo,Amevaa shati ya kijani
Nekunda machi gha iruke,Nataka maji ya moto
Dadawika posho mghambenyi,Tunahifadhi chakula kwa gala
Ughu mwaka ndeghune mavalo,Mwaka huu hakuna Mavuno
Nakusaghika na mdi,Nimeegemea mti
Mwana wajishinga wusiri,Mtoto amejipaka mashizi
Wapotoa nyungu ikabarika,Ameangusha chungu kikapasuka
Sabata rapo radumbuka,Champali zangu zimekatika
Nineke msara na nyalo,Nipe ugali kwa nyama
Nyihi nekunda chapati,Mimi nataka chapati
Kigharo chedukwa ni machi,Nyumba ilisombwa na maji
Nineke chai cha rangi,Nipe chai ya mkandaa
Siboagha kungia machinyi,Siogopi kuingia kwa maji
Nadaobua kujoka ndege,Naogopa kupanda ndege
Nyonyi rimu radakaya mbangenyi,Ndege wengine huishi pangoni
Sawau radanona pemba,Tumbili wanaharibu mahindi
Fuwe yewada nguku yapo,Nyani alishika kuku wangu
Choka reko na sumu,Nyoka wako na sumu
Kusedile hata indo jimweri,Usikose hata mara moja
Wulalo rasighwa iwi,Nafasi zimesalia mbili
Naenda ghua Mwemba,Naenda kununua Mtama
Lwaka lwake laboie,Sauti yake ni nzuri
Koshi yake yabirie,Mbwa zake ni kali
Nguluma iomeshero yasingie,Samaki wa kukaushwa ni mtamu
Uhu ni mwawu,Huyu ni mjomba
Naenda selia mkeku wapo,Naenda kutembelea mama mkwe
Nakwana na mghosi wapo,Nimekutana na baba mkwe
Wawa wa waka wacha,Bibi amekuja
Wai wose wawangwa,Wasichana wote wameitwa
Mao namsigha mzinyi,Mama nimemwacha nyumbani
Mwanidu wa womi wachee,Kaka yangu alikuja
Mwanidu wa waka walowolo,Dada yangu aliolewa
Naweenda harusinyi,Naenda harusini
Warwa itasibo,Amevaa mkufu
Nyihi nadarwa vilole,Mimi navaa miwani
Ngasu ingi ndeiko,Hakuna siri yeyote
Odekuvisa ndembonyi,Alijificha kwa migomba
Makaji ndeghiko kinyangenyi,Hakuna viazi sokoni
Kala dedopoisa kai,Zamani tulikuwa tunatengeneza gala
Kwawezitiria malagho,Unasisitiza maneno
Mundu useghudie uchurie,Mtu hajashiba aongezee
Siichi kudeka nicha,Sijui kupika vizuri
Agha machi ni gha chumbi,Haya maji ni ya chumvi
Kughora loli napoilwa .,Kusema ukweli nimefurahi
Ujha ni mruna mbaha,Yule ni ndugu yake mkubwa
Uhu ni mruna mtini,Huyu ni nduguye mdogo
Awa ni wavi wapo,Hawa ni wazazi wangu
Awaje ni wavi wake,Wale ni wazazi wake
Kuneke wavi ishima,Uwape wazazi heshima
Kuwitale wambenyu,Uwathamini wenzako
Kutale wandu wose,Hesabu watu wote
Mundu wa wusu ndenagha waghenyi,Mtu mchoyo hanaga marafiki
Lukundo nilo lupoie,Upendo ni mzuri
Neka na waghenyi,Niko na wageni
Uhu ni mghenyi wapo,Huyu ni rafiki yangu
Osighilwa mbuwa ni ndee,Aliachiwa shamba na babake
Wamrika wawelola vaghu,Vijana wanatafuta kazi
Naweenda na Ishua,Naenda na dau
Navululia machinyi,Nimezama majini
Midi yose yewoa,Miti yote imeoza
Mwaka ghusirie,Mwaka uliopita
Mori ghuchagha,Mwezi ujao
Njumwa ndazi,Wiki nzima
Kifula nguwo skulu ndeiko,Jumamosi hakuna shule
Kukumbwa vighowa,Kutiwa mbaroni
Kulima ndekukunde wughade,Kulima hakutaki uvivu
Izungu ibaa jha wandu,Kundi kubwa la watu
Linu ni kiramka kawi,Leo ni Jumanne
Kesho ni kadadu,Kesho ni Jumatano
Lawuke ni Kana,Kesho kutwa ni Alhamisi
Kasanu naweenda malombinyi,Ijumaa naenda kwa maombi
Naichi kubora shuu,Najua kuimba sana
Mkowa nigho ghwadumbuka,Mkanda ndio umekatika
Kusemare iyo chia,Usipitie hiyo njia
Dunga ngokoro,Piga magoti
Kwaweja malagho ghibirie,Unaongea maneno makali
Mwanake mtini wawelila,Mtoto mchanga analia
Si nicha kungi kuiwa,Si vizuri kuiba
Ni nicha kughora loli,Ni vizuri kusema ukweli
Ni kisaya kukalia,Ni vibaya kusema uongo
Wandu wa tee weka pacha,Watu waongo ni wengi
Wanikumba wowa,Amenitia uoga
Wadaboesha wandu,Anaogopesha watu
Bonya shwa shwa,Fanya haraka
Kuende mboa mboa,Uende pole pole
Rimisha taa,Zima taa
Kora taa diwone,Washa taa tuone
Mundu ungi uselo na mmbao,Mtu yeyote asipigane na mwenzake
Njau mbaha yadaobulwa,Fahali mkubwa anaogopewa
Ihi fwandi ndeiwadie mbembe,Huyu Beberu hana pembe
Diende kaba mpira,Twende kucheza mpira
Niki chakushunua,Nini kimekushangaza
Nakwana na mchili,Nimekutana na Mhubiri
Nawona nkughoree,Nimeona nikwambie
Kwawemerea ngelo duhu,Unapoteza muda bure
Vichula vakaiyagha machinyi,Vyura wanaishi kwa maji
Mwana wazoghua shwaa,Mtoto amekua haraka
Nikamuwona nimmanya,Nikimwona ntamjua
Ihi ni boro ya Ng'ombe,Hii ni boma ya ng'ombe.
Nitesee kudeka,Nisaidie kupika
Nishoie iyo nyungu,Nichukulie hicho chungu
Nawelomba wutesia,Naomba usaidizi
Kunilolie chuo chapo,Nitafutie kitabu changu
Nawerumbuta chai,Nakunywa chai
Nawenda kama Ng'ombe,Naenda kukamua Ng'ombe
Niwesere nirughe nyumba,Ningoje nifunge nyumba
Kukanikotia nikughoriagha,Ukiniuliza nitakwambia
Kilongozi ni ani,Kiongozi ni nani
Mbaa wawo ni nani,Mkuu wao ni nani
Ni suti mnughe sharia,Ni lazima mfuate sheria
Ngelo rasoghoda,Saa zimesonga
Nineke kifumbi nisee,Nipe kiti nikae
Soghora meza,Songeza meza
Narirwa ni nyalo iochero,Natamani nyama choma
Kila mundu ukae wulalonyi ghwake,Kila mtu akae kwa nafasi yake
Mwindi ghwake ghoko na wasi,Mguu wake una matatizo
Nani wadumbua Iua,Nani amekata Maua
Walaghasha ndagha yape,Amepoteza kisu chake
Watumia isoka kubara mbande,Ametumia shoka kupasua kuni
Kukawuka kuale wuli,Ukiamka utandike kitanda
Ngarai yapo yabarika,Karai yangu imepasuka
Siwadie sile ingi,Sina deni Lolote
Kose korighwa isanju,Kote kumezingirwa ua
Kwawenilawia kii??,Wanidai nini
Nawekulawia magome,Nakudai pesa
Imbiri kuseruwukie mtandara kuzighane mtorori,Kabla hujavuka barabara uangalie magari
Lwau lwapo lwavinika,Mguu wangu umeteguka
Zighe ranona miwalwa,Nzige wameharibu mimea
Nguku yapo yakongoda,Kuku wangu ameangua
Vana vakongodwa,Vifaranga wameanguliwa
Kusekekaya na wamaiza wangi,Usiwe na maaadui wowote
Kuserede wumaiza,Usielete uadui
Nawe marwa ni meso,Nahisi kizunguzungu
Najoka wulinyi kwapo,Nimepanda kitandani kwangu
Sawa nderisikiragha wughanga,Viroboto hawaskii dawa
Ngua radaonga mifugho bagha,Kupe hufyonza mifugo damu
Uhu mundu walwale luma,Huyu mtu ameugua muda mrefu
Luja lose ni lwala,Pale kote ni mwamba
Kwadima kujoka mlamba,Unaweza kukwea mbuyu?
Ini sina kighirio,Mimi sina kizuizi
Ukuta ghwabuka lughuma,Kuta umefanya ufa
Indu jawada Chana,Mwewe ameshika kifaranga
Lwakule lwapo lwakuka,Kucha yangu imeng'oka
Rwai yadareda makongo,Mmbu huleta magonjwa
Kulole wongo ghoumba nyungu,Utafute udongo wa kutengeneza chungu
Kusezamilo ni mashomo,Usichukie masomo
Kupoilo ni mashomo,Upende masomo
Iguo msughusiko ghwabonyekee,Jana tetemeko lilifanyika
Chupwa yepotoka,Chupa ilianguka
Enda kuwike chumbenyi,Nenda uweke chumbani
Inja nguwo lughenyi,Anua nguo kwa kamba
Anika nguwo rose,Anika nguo zote
Enja magome bengi,Peleka pesa benki
Ikwau nedeka nilave,Usiku wote sikulala
Kusenyavure choki,Usivuruge nyuki
Kilole chapotoka chikasaghasika,Kioo kimeanguka kikapasuka
Jalo ni nyamandu isepoie,Ngiri ni mnyama hatari
Dwa Irina kuenda najo sa ngao.,Beba jina uende nayo kama ngao.
Hata Kwa bagha yako yeniombochue.,Hata kwa damu yako imenikomboa.
Jesu nuo chia yeenda Kwa ABA.,Yesu ndie njia yakuenda Kwa baba.
Aba mlungu Koko mcha na kwaine wughoma.,Baba Mungu we ni mwema na mwenye huruma.
Wadaneka wandu wake ndighi na kudima.,Anawapa watu wake nguvu na uweza.
Oho kwaishabue chia mbaa yeidiria .,Wewe umepanua njia Pana yakupitia.
Ini ndumiki wako nadalindia ng'ondi ra aba.,Mimi mtumishi wako nachunga kondoo WA baba.
Chao ichi cheko na malagho ghipoie.,Kitabu hiki kina mambo mazuri.
Kusakebonya kazi ingi ituku jha sabato.,Usifanye kazi yeyote siku ya sabato.
Ngolo yapo yapoelewa andenyi ya bwana.,Moyo wangu wafurahia ndani ya bwana.
Nguku ra atele ravamilwa ni mnyama.,Kuku wa nyanya wanavamiwa na mnyama.
Boboro ya soko ni vindo vineka mundu ndighi.,Githeri ya kunde ni chakula ya kutia mtu nguvu.
Nawalindia ighi mapemba ghisejigho ni fuwe.,Nachunga hizi mahindi zisiliwe na nyani.
Ihi ndunda idewalwa ni Caleb maye .,Hii mnavu/managu ilipandwa na mamake Caleb.
Kila mundu wanye chai na iyole.,Kila mmoja anywei chai na kiporo.
Me Paulo woko mana kabisa.,Mama Paulo ni mzima sana.
Sharon wabonyere wanidu winileghe putu.,Sharon amefanya ndugu zangu wanikatae kabisa.
Matuku ghapo ghaidie mipango yapo.,Siku zangu zimepita mipango yangu.
Mwengere ghwa iruwa ghavika aha.,Mwangaza wa jua umefika hapa .
Na waniduwa mao wikaia kula na nani moni.,Na ndugu zangu WA mama mmoja wakaka mbali na Mimi
"Wana watini wianimenya,wianiseka shuu.",Na watoto wadogo wananidharau na kunicheka kabisaa.
Niko Kevin ukatumbulia maye na ndea.,Alafu Kevin akamjibu babake na mama
"Ndewadie Wana,hata kivalwa chingi.","Hana hata mtoto ,hata wakusingiziwe Hana."
Miri ya midi yao ma nandonyi na mbashu rake.,Mizizi ya mti imekauka chini Hadi majani yake.
Mlungu wanitangalie chienyi niseide putu.,Mungu amenizibia njia nisipite kabisa.
Nichammbona na meso ghapo gheni.,Nitamuangalia na macho yangu mwenyewe.
Nekunda kulowolwa ni mdawida ushomie,Nataka kuolewa na mtaita amesoma
Jesu uchawuia kuwitanya wandu wiko wimoyo na awa wifuyie,Yesu atarudi kuwahukumu walio hai waliokufa
Harusi ya me Kombo yeko kifula nguwo cha ihi njumwa,Harusi ya mama Kombo iko Jumamosi ya hii wiki
Mwadime wadadwala ni dilo shwawori,Mwadime anashikwa na usingizi haraka
Mwakichwa odejha kimanga cha makaji ighuo,Mwakichwa alikula mataha ya viazi jana
Malaji gha kidawida ghesinga na chai cha rangi,Viazi tamu na chai rangi ni tamu
Dideenda diwa na koshi dikawada mwakuli,Tulienda kuwinda na mbwa tukashika digidigi
Mwamodo waenja ngombe na mburi modenyi,Mwamodo amepeleka ngo'mbe na mbuzi mtoni.
Ghenda Mlungu ukaie chia imweri na oho,Nenda Mungu awe pamoja na wewe
Kusekemsigha msawi wa waka ukaie moyo,Usiache mchawi wa kike abaki hai
Ela ini ni mkiwa nisewadie kindo chingi,Lakini mimi ni maskini nisiye na chochote
"Wandu wose wikundane, wai kwa wadawana","Watu wote wapendane, wasichana kwa wavulana"
Wandu wose wilakie wikabo mzata,Watu wote wenye tamaa wapighwe na mkongojo
Nikukotie kozoghua mzinyi angu sikuwonagha aha,"Nikulize ulikua hapa nyumbani ama, sikuonangi hapa"
Mfu wa Ringoma waenda daya machi gha ndoria,Mtoto wa Ringoma amenda kuteka maji kwa chemichemi
Isanga jedu jha Mwanda jechaghaluka,Mkoa wetu wa Mwanda ilikujakubadilika
Kokala vua yedonya ya kilolia na ndoria rideka kila andu,Kitambo mvua ilikuwa inanyesha na chemichemi zilikuwa kila mahali
Sidima nikaie na mwai ughokie na unitirire ngolo,Siwezi kuka na msichana mrembo na anitese roho.
Yakundika dikaie kindo chimweri sa waisanga,Inatakikana tukae kitu kimoja kama wananchi
Nikawaya tindi rako ni laghelaghe,Nikichuna tomato zako vibaya?
Wandu wose wakunde kukaia panana,Watu wote wanataka kuka vizuri
Ini napoilwa kukaie sere na wandu,Mimi hufurahi kuka kwa amani na watu
Ni oho kwabonya huwu angu ni mundu mzima?,Ni weweumefanya hivi ama ni mtu mwwingine?
Deko na waghenyi sena saki ni vika Wundanyi,Tuko na wageni lakini hata hivyo nitafika Wundanyi
Nawenda ela simanyire ngera niwuia,Naenda ila sijajua kama nitarudi
Kufuma icho hata linu simbone,Kutoka juzi hadi leo sijamuona
Kufuma ni chee hata linu nde wibore,Kutoka nije hadi leo hawajaimba
Andenyi ya Nyumba koka na choka,Ndani ya nyumba kuna nyoka
Mbesere hata uche ujha mdawana,Mgonje hadi akuje yule kijana
Kwache kufuma lini mdawana wa mzedu,Ulikuja tangu lini kijana wa kwetu
Mundu wa ndighi walima idime,Mtu wa nguvu amelima leo.
Kavui ya mdi ughu eko nyamandu mba,Karibu na mti huu kuna mnyama mkubwa
Kavui na nyumba niko kitoi chikabilo,Karibu na numba yao ndiko mwizi alipigwa
Mwadeda ngelo rose mwalimu waingia,Mnaongea wakati wowote mwalimu akingia
Ghenda kwa aba ukuneke lufu,Enda kwa baba akupatie panga
Mkabe na rungu noko icho kitoi,Mpige kwa rungu huyo mwizi
Aba odeghora wuloli kwa wandu wose,Baba alisema ukweli kwa watu wote
Cho na iseghe diwade mbala,Kimbia kwa haraka tushike swara
Jingi siwone kisuka cha deda,Hakuna siku nimeona jini limeongea
Kukawuria kumkaba mwana wako ndekuchambona jingi,Ukirudia kumpiga mtoto wako hutamuona tena
Nadema mudi gha abo ghuko modenyi,Nimekata mti wa Jomba ambao uko mtoni
Dawelisha ngombe mlambenyi na wana,Tunachunga ngo'mbe malishoni na watoyo
Naghidaya machi kufuma modenyi koisi,Nimeteka maji kutoka mtoni huko chini
Nalasa nyonyi iwi rikoghe rikija mzabibu,Nimelenga ndege wa wili waliokuwa wakila mzabibu.
Dighua mburi isanu kwa samba relisha na resicha ngelo ya kifo,Tutanunua mbuzi tano kwa Samba za kuchunga na za kuchinja wakati wa mazishi
Nawona mundu wakimbia kufuma voi mpaka Mwatate usehoreshere anduangi,Nimeona mtu amekimbia kutoka Voi mpaka Mwatate hajapumzika mahali popote
Mghenyi wapo wacha na waruna wa waka wikoie shuu,Mgeni wangu amekuja na ndugu zake wakike warembo kweli
Nakunde ujha mwana wa waka ngolonyi kwapo,Nampenda yule mtoto wa kike rohoni mwangu
Chongonyi kwake kwa chua maghesho pacha,Kichwani mwake kumeja mawazo chungu mzima
Kidundunyi kwapo kwachua mavunde ghiwurue,Kwa gala yangu kumeja mandizi ilioiva
Iwanu japo jeni najikumba jikalasa ngukunya wandu,Mshale wangu nimeurusha ukalenga kuku ya watu
Mughunda kwapo ghoni gholimwa ni wandu ikumi,Shamba langu lenyewe lililimwa na watu kumi
Nyumba rapo reni redukwa ni machi kufuma koighu mghondinyi,Nyumba zangu zenyewe zilibebwa na maji kutoka juu mlimani
Ighembe jha mkwapo jaiwa ni Samba linu,Jembe la bibi yangu limeibwa na Samba leo
Wa Mwanda wamshikanya lwau kitoi chiwadiro chikiwa,Watu wa Mwanda wamemvunja mgu mwizi aliyeshikwa akiba
Mundu ukaogha wadasjishinga mavuda uwoneke nicha,Mtu akioga hujipaka mafuta aonekane vizuri
Wandu wadajikalia weni kedi kukafwa kwada na mali rako,Watu hujidanganya wenyewe kuwa ukifa unaenda na mali yako
Namanya ngolo yapo yakunde kulowua Samba,Najuwa moyo wangu unataka kumuoa Samba
Chongo capo cheka na maghesho eagha choro Mwatate,Kichwa yangu iko na mafikra yakujenga choo Mwatate
Mundu uko na iriso wadakaia zuna,Mtu mwenye kijicho huawa anaka maskini
Niko naghamba muche na mayo na ndeo di dede kesi,Ndio nimesema uje na mamako na babako tuonge kesi
Uhu uko na cheja umneke uhu mwana wasowa vindo,Yule anaye chakukula ampe huyu mtoto ambaye amekosa chakula
Uhu useghendie mzinyi uchapata nyumba yake yadukwa ni vua,Yule hajaenda nyumbani atapata nyumba yake imebebwa na mvua
Mundu wa idoki ukaba mkwake mpaka umbwaghe,Mtu gani anayempiga bibi yake mpaka amuue
Uhu uko na lukundo wadabonyera wandu malagho mecha,Yule ako na upendo hufanyia waty mambo mema
Malagho gheko wada na ujha mwai kumbone Mwatate?,Mmabo yakoje na yule msichana uliye muona Mwatate?
Kwawenda hao na mburi ra mzedu na apa olegha naro?,Unaenda wapi na mbuzi za kwetu na baba alikata nazo?
Dibora chumbo ilinga njumwa icha ikanisenyi?,Tutaimba nyimbo ngapi wiki ijayo kanisani?
Okudumbua chala chake omoni ukitemerea nyasi ya mburi.,Alijikata kidole mwenyewe akikata nyasi ya mbuzi.
Nienda wona mao ini niekeri kama wanidu walegha,Nitaenda kuona mama yangu mimi pekeangu kama ndugu zangu wamekata
Mudi ughu mao odeghora ghuksekedemwa ni mndungi,Mti huu mama alikata usikatwe na mtu yoyote
Sinyo wangi mnekelo vindo ni mmangi wa isanga,Sio nyinyi mlio pewa chakula na rais wa nchi
Enda kughue vadu ivi vighokie kuche navo,Enda ukanunue viatu vile vizuri uje navyo
Ni aho nikoghe na omoni dikinywa chai cha mao,Ni hapo nilikuwa na yeye tukinywa chai cha mama
Kucha lii na weke wawa wapo niwiwone?,Utakuja lini na wajuku wangu niwaone?
Kwaki kwadeda huwo kisaiya na koko na wana wako?,Kwa nini umeongea vibaya na uko na watoto wako?
Mkwapo okoghe na ilagho jenizera ighuo nikaenda rapo,Bibi yangu alikuwa na kitu yakuniambia jana niakenda zangu
Kwaki usebonyagha sa mruna Mwaimbe ulimie mbuwa yose,Kwa nini asifanye kama ndugu yake Mwaimbe aliye lima shamba yote
Mwamkaba kwa kidali na mao odelegha putu,Mumepiga maksudi na mama alikata kabisa
Mao jingi ndo umneke ighembe kwa kukaia oka na ngolo izamie,Mama hajawai mpatia jembe kwa kuwa ako na roho mbaya
Nairobi ni muzi mubaa kila mundu okunda kuenda,Nairibi ni mji mkubwa kila mtu anataka kuenda
Mwawu odenikotea chuo chapo chekoghe na ani,Mjomba aliniuliza kitabu changu kilikuwa na nani
Chovu mbaa yawesela msidunyi iko na wana wake wadadu,Ndovu kubwa inatembea kwa msitu iko na watoto wake watano
Kitoi cha laswa na iwanu ibaa ni wandu wiko na machu,Mwizi amelengwa na mshale mkubwa na watu wenye hasira
Wawa waghora okunda msenge ghughorokie,Nyanya amesema anataka mkongojo ulionyoroka
Wana wekundika wiende na nguwo rielie linu,Watoto wanatakikana waende na nguo safi leo
Nawone mundu wa mudu Wundanyi ighuo uko zuna,Niliona mtu wakicha Wundanyi jana akiwa uchi
Kaenda Mombasa na kwende baharinyi kwa ogha na machi gha chumbi,Ukienda Mombasa na uende baharini utaoga na maji ya chumvi
Mundu ujha ulimie mbuwa ya mao oka na ndighi,Mtu yule aliyelima shamba la mama ako na nguvu kweli
Kila wandu weko na mizango yawo winugha,Kila watu wako na itikadi zao hufwata
Mundu uhu wapoie ela ujha wazamie shuu,Mtu huyu ni mzuri ila yule ni mbaya sana
Awa wabonya nicha ela waja wabonya nicha na ndighi.,Hawa wamefanya vizuri lakini wale wamefanya vizuri zaidi
Mfu idukenyi ni magome mrongo iwi na wunyanya,Unga dukani ni shilingi ishirini na nane
Kula muzi ghoko na mbenge ghorighia wandu wiseingie,Kila mji uko na lango wakuzuia watu wasingie
Mwavala oka mkongo kufuma mwaka ghusirie,Mwavala ni mgonjwa kutoka mwaka uliopita
Mundu uhu ni mlacha ela ujha wachumba,Mtu huyu ni mrefu lakini yule amemshinda
Chienyi kwake owa midi kufuma Wuimgereza,Njiani kwake alipanda mitit kutoka Uingereza
Okaba mae na ndighi rose ukawuia mkongo,Alipiga mamake na nguvu zote hadi akawa mgonjwa
Odefugha mburi ikumi na wunyanya Mwatate,Alifuga mbuzi kumi na wanane Mwatate
Midi maghana awi ghademwa ni waisanga kutesea iaghi jha skulu,"Miti mia mbili I,ekatwa kusaidia ka ujenzi wa shule"
Waisanga wekundika wiwadane nga ngolo imweri,Wananchi wanafa kushikana kwa moyo mmoja
Wadawana kw wai wepaswa kulindia mbi ghwawo kwa kuwa ni mzi ghwa Mlungu,Wavukana kwa wasichana wanapaswa kulinda mili yao kwa kuwa ni hekalu la Mungu
Naghue msenge ghwa wawa ughuwonieghe,Nilinunua mkongojo wa nyanya aleeuona
Nighulima mghunda kwa mzedu kufuma modenyi mpaka mghondinyi,Nitalima shamba la kwetu kutoka mtoni mpaka mlimani
Wandu wedeka wikiseka na ndighi wamu wikifunya maghegho shighadi,Watu walikuwa wakicheka kwa nguvu wengine wakitoa meno inje
Kuseka kwake ujha mwai kwanipoia shuu,Kucheka kwake yule msichana kumenipendeza sana
Sigha nighende pedu niwone mao na wanidu,Wacha niende kwetu nione mama na ndugu zangu
Mfwa wa mwafuwe wadaamba cha Nairobi na wana wake,Mtoto wa Mwafuwe amesafiri kuelekea Nairobi na watoto wake
Iji nivikagha mzinyi nimzera mkwako kwawuia shelemba,Hivi tu nimefika nyumbani nitamuambia bibi yako umekuwa mzururaji
Kukasikira naenda Mwatate kuche kunizighanire mifugho rapo,Ukisikia nimenda Mwatate uje uniangalie mifugo wangu
Hata kadamba cha Nairobi siolazima ingi kupate chaghu chebonya,Hata ukisafiri kwenda Nairobi sio lazima ati utapata kazi yakufanya
Nakunda kumangu ngera nedeka oho,Napenda kuwa ningekuwa wewe
Vindo vadua visesirie mbuwenyi ivi moko mkiduka,Vyakula bado havijaisha shambani hivi mlikuwa mkibeba
Wandu wa Mwatate wadua wiseche na mburi,Watu wa Matate bado hawajakuja na mbuzi
Mwachofu wadua useghendie skulu andu ushomagha na mwana wapo,Mwachofu bado hajaenda shule mahali anasoma na mtoto wangu
Nimmeria kumbona neghenda mzinyi kwapo,Nilipomaliza kumuona nilienda nyumbani kwetu
Ikakuwa nisembonagha simkimbiagha ujha mdawana okabie apa,Ikiwa sitamuona sitamkibia yule kijana aliyepiga babangu
Oendapata magome ghake ojinona omoni,Alipopata pesa yake alijiharibu mwenyewe
"Nenda mbona nawuria chienyi, sivikie aho",Nilopo muona nimerudia njiani sikufika hapo
Mwai wa Samba ojidunga ndagha omoni ukasagha,Msichana wa Samba alijidunga na kisu yeye mwenyewe akafa
Nicha kutua kwa mori ughu,Nitakuja mwishoni wa mwezi huu
Mdawana ujha okukunda kumoni shuu,Mvulana yule anajipenda yeye mwenyewe sana
Namerea kukama mburi riredelo ni mlisha boronyu,Nimemaliza kukamua mbuzi zilizoletwa na mlishaji kwa zizi
Vindo vikoghe vikidekwa irikoni namerea kuvireda mezenyi,Chakula kilichokuwa kiki pikwa jikoni nimemaliza kukileta mezani
Apa odeka ukibarabara luki kwa isoka jake,Baba alikuwa akipasua kuni kwa shoka lake
Kelvin wadakaia na kukaliakalia kwingi,Kelvin hukuwa na kudanganyadanganya kwingi
Kila mundu udima kurumaghia ukapatwa ni matimo ghizamie,Kila mtu anaweza kuvumilia akipatwa na majaribu mabaya
Nednadafuma mbuwenyi mao ukanuneka machi ninyo,Niipotoka shambani mama alinipa maji ninywe
Apa ukakotea waruna kuiwa ni karakara,Baba akawauliza ndugu zake kuiba ni vizuri
Kukora mudi ughu kwadarighidwa niwaisanga,Kuchoma mti huu uliwekwa marufuku na wananchi
Kila mundu okunda kukaia panana na wana wake,Kila mtu anataka kukaa vizuri na watoto wake
Vua ikazoya kumotoka yanifwana nighale mzinyi,Mvua ikianya kunyesha yanifa niende nyumbani
Mwalumu wadapoilwa kukaia sere na wandu wose,Mwalumu hupenda kuka na amani na watu wote
Ni mao warughua mnyango na waghenyi wikaingia,No mama amefungua mlango na wageni wakaingia
Chuo chako neko nacho mzinyi pedu,Kitabu chako niko nacho nyumbani kwetu
Mao oghorieghe jingi ndo umnekagha mburi sena,Mama alisema hakuna siku atampea mbuzi tena
Ghora nicha wanake wikusikire seji kwa wededa,Sema vizuri watoto wakusikize vile unasema
Choroni chake chawenuka laghelaghe kufuma icho,Choo chake kinanuka vibaya kutoka juzi
Ighuo nendafuma mbuwenyi nebwaghilo ni njala,Jana nilipotoka shambani niliuliwa na njaa
Mangi wa isanga odeghora wuloli ghwa wana wikayie na wavi wawo,Rais wa inchi alisema ukweli wa watoto wakae na wazazi wao
Mao odeka ukighora nandighi diko shighadi dikimsikira,Mama alikuwa akisema kwa nguvu tuko inje tukimsikiza
